id,product_id,feature_id,feature_name
1,1,1,Bluetooth
2,1,6,Microphone
3,1,8,Touch Controls
4,1,9,App Support
5,1,11,Multi Device Pairing
6,1,13,Fast Charging
7,1,17,Audio Customization
8,2,1,Bluetooth
9,2,2,Wired Connection
10,2,11,Multi Device Pairing
11,2,16,Foldable Design
12,2,17,Audio Customization
13,2,20,Onboard Battery
14,2,21,Carrying Case
15,3,1,Bluetooth
16,3,2,Wired Connection
17,3,6,Microphone
18,3,8,Touch Controls
19,3,13,Fast Charging
20,3,20,Onboard Battery
21,4,1,Bluetooth
22,4,3,Active Noise Cancellation
23,4,7,Voice Assistant
24,4,11,Multi Device Pairing
25,4,13,Fast Charging
26,4,20,Onboard Battery
27,4,21,Carrying Case
28,5,1,Bluetooth
29,5,3,Active Noise Cancellation
30,5,7,Voice Assistant
31,5,11,Multi Device Pairing
32,5,13,Fast Charging
33,5,20,Onboard Battery
34,5,21,Carrying Case
35,6,1,Bluetooth
36,6,6,Microphone
37,6,8,Touch Controls
38,6,15,Water Resistant
39,6,20,Onboard Battery
40,6,21,Carrying Case
41,7,1,Bluetooth
42,7,6,Microphone
43,7,7,Voice Assistant
44,7,8,Touch Controls
45,7,9,App Support
46,7,15,Water Resistant
47,7,21,Carrying Case
48,8,1,Bluetooth
49,8,6,Microphone
50,8,8,Touch Controls
51,8,9,App Support
52,8,15,Water Resistant
53,8,20,Onboard Battery
54,8,21,Carrying Case
55,9,2,Wired Connection
56,10,1,Bluetooth
57,10,2,Wired Connection
58,10,3,Active Noise Cancellation
59,10,6,Microphone
60,10,8,Touch Controls
61,10,13,Fast Charging
62,10,15,Water Resistant
63,10,16,Foldable Design
64,10,18,Hi Res Audio
65,11,1,Bluetooth
66,11,2,Wired Connection
67,11,4,Passive Noise Isolation
68,11,6,Microphone
69,11,7,Voice Assistant
70,11,11,Multi Device Pairing
71,11,13,Fast Charging
72,11,20,Onboard Battery
73,11,21,Carrying Case
74,12,1,Bluetooth
75,12,6,Microphone
76,12,13,Fast Charging
77,12,15,Water Resistant
78,12,19,Surround Sound
79,12,20,Onboard Battery
80,13,1,Bluetooth
81,13,2,Wired Connection
82,13,3,Active Noise Cancellation
83,13,13,Fast Charging
